longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-117.24,32.79,20.0,961.0,278.0,525.0,254.0,3.1838,NEAR OCEAN
-121.29,38.01,2.0,6403.0,1116.0,3327.0,957.0,4.4871,INLAND
-118.14,33.92,31.0,3731.0,853.0,2313.0,801.0,3.2237,<1H OCEAN
-122.07,37.94,30.0,1260.0,276.0,707.0,221.0,2.892,NEAR BAY
-121.89,37.99,4.0,2171.0,597.0,928.0,461.0,4.1016,INLAND
-121.25,37.97,41.0,855.0,189.0,716.0,206.0,2.0375,INLAND
-121.98,37.27,25.0,3075.0,564.0,1633.0,543.0,5.2528,<1H OCEAN
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,4.8906,<1H OCEAN
-122.1,37.39,35.0,2471.0,349.0,881.0,342.0,7.6229,NEAR BAY
-122.39,40.53,28.0,1427.0,304.0,692.0,285.0,2.125,INLAND
-120.06,39.15,22.0,2213.0,372.0,98.0,42.0,1.1912,INLAND
-117.27,34.13,36.0,3337.0,687.0,2388.0,589.0,2.9628,INLAND
-117.85,33.9,25.0,1548.0,256.0,811.0,263.0,5.2037,<1H OCEAN
-122.01,37.98,25.0,1476.0,336.0,777.0,297.0,3.5179,NEAR BAY
-120.39,37.96,10.0,2554.0,501.0,922.0,439.0,2.1094,INLAND
-117.19,32.77,30.0,2747.0,640.0,3185.0,657.0,3.765,NEAR OCEAN
-118.33,33.88,36.0,1271.0,346.0,811.0,345.0,3.2417,<1H OCEAN
-118.1,33.79,36.0,3359.0,596.0,1522.0,565.0,5.1805,<1H OCEAN
-120.61,35.1,17.0,2799.0,637.0,2015.0,592.0,3.0536,<1H OCEAN
-122.43,37.74,52.0,2637.0,539.0,1159.0,497.0,3.8846,NEAR BAY
-118.07,33.99,35.0,1625.0,302.0,1134.0,288.0,4.5595,<1H OCEAN
-121.28,38.66,17.0,7741.0,1401.0,3153.0,1331.0,3.7869,INLAND
-118.0,33.89,35.0,1011.0,183.0,578.0,171.0,3.9861,<1H OCEAN
-120.07,36.98,12.0,1790.0,379.0,1399.0,397.0,2.5388,INLAND
-120.69,35.52,26.0,2758.0,571.0,1291.0,522.0,2.925,<1H OCEAN
-122.4,37.62,44.0,1619.0,362.0,1064.0,335.0,4.0238,NEAR OCEAN
-118.49,34.22,30.0,1756.0,314.0,899.0,288.0,5.0325,<1H OCEAN
-118.32,33.9,36.0,1741.0,412.0,1245.0,423.0,4.1344,<1H OCEAN
-122.4,37.68,36.0,3595.0,815.0,1649.0,755.0,3.3816,NEAR BAY
-116.95,33.75,19.0,2238.0,573.0,1190.0,507.0,2.0714,INLAND
-117.21,34.12,32.0,1677.0,354.0,1021.0,339.0,3.6853,INLAND
-118.2,33.77,40.0,2034.0,899.0,1257.0,797.0,1.2864,NEAR OCEAN
-117.19,33.18,7.0,3561.0,722.0,1921.0,657.0,4.1128,<1H OCEAN
-118.32,33.8,39.0,1415.0,298.0,729.0,278.0,3.1648,<1H OCEAN
-117.21,32.81,27.0,1318.0,216.0,495.0,191.0,5.2837,NEAR OCEAN
-121.85,37.72,43.0,228.0,40.0,83.0,42.0,10.3203,INLAND
-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,NEAR OCEAN
-121.63,39.15,27.0,2991.0,637.0,1419.0,606.0,1.8849,INLAND
-117.14,32.8,35.0,1267.0,212.0,710.0,204.0,2.5368,NEAR OCEAN
-117.7,33.48,6.0,16590.0,2696.0,6223.0,2357.0,6.3088,<1H OCEAN
-117.69,34.08,30.0,4255.0,773.0,2129.0,730.0,4.5185,INLAND
-120.04,36.74,14.0,3182.0,730.0,2298.0,721.0,1.6168,INLAND
-117.7,33.62,16.0,9653.0,2000.0,4732.0,1922.0,3.7361,<1H OCEAN
-123.21,39.14,39.0,1419.0,262.0,661.0,278.0,3.0,<1H OCEAN
-121.81,37.25,20.0,3398.0,771.0,1231.0,744.0,2.0288,<1H OCEAN
-118.23,34.1,41.0,1353.0,379.0,1536.0,416.0,2.1687,<1H OCEAN
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,INLAND
-118.56,34.06,24.0,2332.0,349.0,761.0,325.0,7.3031,<1H OCEAN
-122.44,37.78,52.0,1118.0,279.0,514.0,284.0,2.4196,NEAR BAY
-117.85,33.78,23.0,3187.0,870.0,1977.0,852.0,3.3939,<1H OCEAN
-122.69,38.36,6.0,5496.0,1374.0,2502.0,1189.0,2.4827,<1H OCEAN
-122.13,37.46,35.0,1321.0,300.0,1133.0,287.0,3.7312,NEAR BAY
-121.38,38.47,4.0,14418.0,2282.0,6578.0,2140.0,4.5604,INLAND
-117.16,32.81,34.0,2275.0,375.0,1021.0,379.0,3.6371,NEAR OCEAN
-121.75,37.3,23.0,1801.0,415.0,548.0,393.0,2.5052,<1H OCEAN
